File Name,Job Role,Education,Skills and Highlights
61677751.pdf,SALES AND BUSINESS DEVELOPMENT,"Supply Chain Management University of North Carolina ï¼​ City , State Post-Baccalaureate in Supply Chain Management, coursework
Bachelor of Science : Sport Management Guilford College ï¼​ City , State","2000, Administrator, Appointment Setting, Art, B2B, Billing, Business Analyst, Business Development, Business Modeling, Business Operations, Business Process, Business Systems, Call Center Manager, Coaching, Cost accounting, Customer Relations, Customer Service Expert, Database, Desktop Publishing Software: Photoshop, Estimating, Expert, ISO, Illustrator, Innovation, Inventory Control, Logistics, Managing, Outside Sales, POS, Quality, Sales, Sales Software: Salesforce.com, Six Sigma, Supervisor, Supply Chain Management, Teacher, Team Leader, management, market, marketing, meetings, policies, process control, process improvement, production management, program implementation, project, reporting, research, retail, scheduling, technical support, Â  E-business Director"
65708020.pdf,BUSINESS DEVELOPMENT,"Bachelor of Science : Marketing and Legal Studies in Business , 2006 Duquesne University ï¼​ City , State","000 to $1.3 million in 6 years. (Amore Limousines/Morgan Coach), Accomplishments, Account Management, Adept at Closing Sales, Analytical Problem Solver, Budget Development, Business DevelopmentÂ, Consistently exceed sales quotas and always in the top 10% of the sales team. (Davison), Cost Efficiency, Grown sales revenue 85% in a depressed oil and gas market, Handle the highest volume/revenue accounts in assigned territory. (SunnySide Supply), Have obtained promotions and management opportunities faster than expected by employer. (SunnySide Supply and Davison), Led sales team to grow revenue from $50, Networking, Personally responsible for 100% of Erect-A-Step sales and 40% of overall company sales. (SunnySide Supply), Profit Optimization, Relationship Building, Sales/Market Analysis, Strategic Planning, Successfully expanded account base from 2 to more than 50 accounts. (Amore Limousines/Morgan Coach), Training and Development, Won award for ""Rookie Sales Director of the Year."" (Davison), consistently exceeding sales goals. (SunnySide Supply)"
67501448.pdf,BUSINESS DEVELOPMENT COORDINATOR/EVENT COORDINATOR,"LICEO LINGUISTICO EUROPEO CADORNA 2002 High School Diploma : Foreign Languages City , ITALY","Able to deal in a mature manner with problem solving, Able to use own, Builder of strategic partnership, Calm and focused, Customer Targeting, Event Management, Excellent communication and organizational skills, Good attitude around others, Good knowledge of social media, Highly motivated for career advancement, Negotiation skills, New, Online Marketing Strategies, Polyglot, Problem Solver, Responsible and reliable, Skilled marketing professional focused on exceeding revenue goals, Social Networking, Versed in all aspects of marketing campaigns from concept, Willing to help, Willing to learn and, accept constructive criticism, customer acquisition expert who emphasizes a mix online and offline marketing strategies., development to execution and launch, initiative and work as part of a team, Â Teamwork"
76916835.pdf,BUSINESS DEVELOPMENT MANAGER,"Bachelor of Science , Communication Disorders University of Houston, Houston Texas Communication Disorders
Marketing courses University of Houston
Business courses University of Houston","2015 ., Accomplishments, Collaborated with prospective clients to prepare efficient product marketing strategies and drive business development., Created strategies to develop and expand existing customer sales, Excellent communicator, Excellent sales techniques, Exceptional customer service skills, Increased sales volume by adding 8 new accounts in the assigned territory., Marketing, Outside Sales, Proven sales track record, Relationship selling, Sales, Skilled multi-tasker, Strategic account development, Upselling and consultative selling, benefits, business planning, clients, closing, competitive intelligence, concise, contracts, customer service, marketing, multitasking, office, oil, presentations, product development, profit, rapport, sales and development, sales plan, seminars, strategic, time management, which resulted in a 30% increase in monthly sales. Increased revenue 42 % in"
77576845.pdf,DIRECTOR OF BUSINESS DEVELOPMENT,"Bachelor of Fire Science : 8/15 Thomas Edison State College ï¼​ City , State GPA: GPA: 3.37

GPA: 3.4

Customer Relations Course; OSHA Safety Course; HAZMAT Materials Operations; Airfield pavement and assessments certifications Course;
Fire Officer I, II, III; Fire Instructor I, II, III; Fire Inspector I, II; Fire Investigator I; Fire Fighter I, II, III; Airport Firefighter;; Emergency Vehicle
Operators Course; Amphibious Warfare School Nonresident Program; Advance EAF School; M-31 Arresting Gear Systems Course; Marine
Corps Aircraft Launch and Recovery School; Aircraft Firefighting School; Warrant Officer Basic School; Staff Non Commissioned Officers
Course; Sergeants Course; Total Quality Leadership; Hazardous Waste Coordinator Course RCRA; Hazardous Materials and Hazardous Waste
Management Course; Suicide Prevention Course; Minimum Operating Strip Lighting System Course; Lean Six Sigma White Belt Course
Professional Affiliations
Veterans of Foreign Wars, SATS/EAF Association, Marine Corps Association,","07/2010 to 02/2015 Company Name ï¼​ City, 2K, Ability to forecast future issues through ongoing strategic analysis., Analyze day to day business activities ensuring efficient and effective services., Basic, Client, Customer Relations, Director of Business Development, Ensure adherence to all Health, Ensure all relevant Human Resources and policies, Establish and oversee the implementation departmental policies, Excel, Excellent communications skills written and orally especially under pressure., Government, Hazardous Waste, Hazardous Waste Management, Human Resources, Inspector I, Instructor I, Leadership, Lighting, Maintain relationships with Client Government Sales Management to ensure strategy and sales objectives are identified and plans developed, Materials, Microsoft Word, Negotiate business transactions for the company in the amount of over $1K., Outlook, Plan, PowerPoint, Professional Experience, Prospect for new sales and manage current and pending sales in the amount of over $1M., Quality, Safety, Safety and Environmental policies and procedures., Sales, Sales Force and Outlook, Sales Management, Six Sigma, State, Supervise budgets for maximum Return of Investment (ROI)., Supervisor, Types 80 WPM, and coordinate operational activities at the highest level of management with the help of subordinate executives and staff, and procedures, budget, budgeting, budgets, communications skills, conferring with senior management and, counseling, customer satisfaction, direct, for the sales year., goals, hiring, instruction, managers., modeling, needs assessment, objectives, personnel, policies, policy development, procedures are followed., processes, risk management, scheduling, senior management, staff members as necessary., strategic analysis, strategic planning, strategy, tender, written"
79759716.pdf,HEAD OF BUSINESS DEVELOPMENT,"BA : Economics 2011 University of Arizona Economics
Sports Marketing & Management 2011 Minor Degree Sports Marketing & Management","Advertising, Comfortable providing recommendations on basic elements of design, Comfortable with all Google Suite products + Google analytics, Excel, Facebook Advertising, Facebook Analytics, Fundraising, Google analytics, Instagram, Keynote, Microsoft Word, Powerpoint, SenGrid, Twitter, access, agency, basic, brand development, brand marketing, brand strategy, business development, client, clients, content, content creation, decision making, delivery, direction, email, fast, market, marketing"
80275976.pdf,SE BUSINESS DEVELOPMENT MANAGER,"Bachelor of Science , Economics Marketing 05.05.88 Clemson University ï¼​ City , State

Economics-Marketing. Concentration in Labor Economics, Finance, Mathematics, Business Management, and Marketing.","Accomplishments, Activities Mastering Business Development Workshop-Bill Scheessele., Business Management, Business development, C, CD covers and other printed materials., Collaborated with marketing and business development groups for collateral needs by creating page layout designs for flyers, Cross-cultural sales background, Economics, Engineer, Established track record of exceptional sales results, Excellent communication skills, Exceptional Management Skills-Baker Communication Inc., Exceptional multi-tasker, Finance, Global Sourcing Quality Engineer Training-GE Power Systems., Larry Pepper., National account management, Print Graphic Support Â, Professional Instrument Society of America., Resolution-oriented, SC, SIMSOC (Simulated Society) Leadership Workshop-Dr., Six Sigma Green Belt Certified., automation, data sheets, inside sales, marketing"
81310245.pdf,BUSINESS DEVELOPMENT EXECUTIVE,"Bachelor of Arts (B.A) : Communication 1 2009 California State University City Communication
Associate : Arts 1 2007 Diablo Valley College California State University City GPA: Graduated Magna Cum Laude (top 3% of class Arts
Graduated Magna Cum Laude (top 3% of class
Property and Casualty License (License Number 0G88502) 1 1","Addressed customer inquiries, Communication Skills Â, Conducted surveys and analyzed results., Coordinated, Designed, Established and improved client communications, Evaluated target markets and proposed marketing strategies., Managed all phases of direct mail projects, Marketing Skills Â, Produced variety of business materials, Promoted products and services, Proof read and edited all referenced written materials, Researched and conceived newsletter articles., Served as representative and liaison., Writing Skills Â, Wrote creative copy for catalogs, brochures and social media., developed and implemented marketing and sales campaigns., generated leads and initiated sales., identified, including: letters, interpreted and delivered information, investigated and negotiated conflicts., maintained ongoing relationships., monitored production teams, planned and contributed at trade shows and special events., proposals and forms., proposed suggestions, provided guidance, recruited and guided vendors., reports"
82118447.pdf,BUSINESS DEVELOPMENT MANAGER/PROGRAM DIRECTOR,"Ph.D : Business Administration , 2003 California Coast University - City , State GPA: GPA: 9 Summa Cum Laude Business Administration GPA:
9 Strategic Business Policy, Marketing and Economic Policy, Organizational Psychology, Cultural Dimensions of Management, Corporate
Finance, Planning and Control, Management of Business and PublicOrganizations, Human Resource Management, Human Behavior in
Organizations, Management Theory and PracticeCritical Thinking/Problem Solving and International Marketing. Summa Cum Laude
MBA : Business Administration , 2002 California Coast University - City , State GPA: GPA: 0 Summa Cum Laude Business Administration GPA:
0 Emphasis on Organizational Behavior, Managerial Decision Making, E-Business, Management Science, Quantitative Methods, Human
Relations, Financial and Marketing Management, Business Law, ComputerTechnology for Managers, The Research Process. Summa Cum Laude
Bachelor of Science : Business Administration Psychology, Sociology, Business Management, Organizational Theory and Behavior,
Marketing,Economics and Communications , 2000 California Coast University - City , State GPA: GPA: 0 Graduated Summa Cum Laude
Business Administration GPA: 0 Psychology, Sociology, Business Management, Organizational Theory and Behavior, Marketing,Economics and
Communications Graduated Summa Cum Laude
Prerequisites for State Certification: Addictions Studies : 2006
Case Management and Documentation, Addictions Studies Hospital Corpsman/Psychiatric Technician : 1980 Palo Verde Junior College - City ,
State
Hospital Corpsman School, EMT-II, Psych Technician, Crisis Intervention Certified Substance Abuse Counselor. All College Transcripts are
available upon request. United States Navy","""Bank of theFuture."" Market share and revenue, 30-plus employees and 5 million dollarsin annual revenue., ADP, August 2006 to November 2008 Company Name - City, Business Development Manager/Program Director, Business Law, Capitalized on industry changes to maximize company revenue., Case Management, Chief Executive Officer of medium-size Telecommunications Corporation. Managed the day-to-day tactical and long-term strategic activities within, Coached and mentored 38 staff members by offering constructive feedback and taking interest in their long-term career growth. Conducted all, Conducted cost, Corporate Finance, Counselor, Crisis Intervention, Decision, Designed and implemented a strategic marketing initiative for First Interstate Bank entitled, Dimensions, Direct sales, Division which grew to in excess of250 million dollars in revenue per year.Built successful telecommunications company that quickly grew to, Documentation, Drafted business plans, E-Business, Established knowledge-sharing processes for 38 associates throughout the organization., February 2014 to Current Company Name - City, Financial, Human Relations, Human Resource Management, Identified strategic partnerships and gathered market information to gain a competitive advantage., Increased monthly sales by 70% by implementing strategies to develop and expand existing customer base through up-selling and cross-selling, International Marketing, International business, January 1990 to May 1993 Company Name - City, Making, Managed budget forecasting, Managerial, Market, Marketing Management, November 2008 to August 2011 Company Name - City, Organizational, P.C., Payroll, Payroll"" product line which eventually dominated themarketplace.Recruited, President/CEO, Professional Experience, Program Director, Psychology, Research, Responsible for all aspects of the organization including direct sales., Senior Counselor, September 1993 to August 2006 Company Name - City, September 2011 to January 2015 Company Name - City, State, Strategic, Substance Abuse Counselor, Technician, Top-ranked sales executive leading largeNational account management organizations.Organizational psychology and managementExcellence in, account management, and economic policy.Revenue and market expansion. Resource optimization.Excellent communicator.Compelling leadership skills.Complex, budgets and quarterly and semi-annual business reviews., client relations, communicator, contract performance, goal setting and performance reporting for all accounts., grew by over 300% and the program, leadership skills, marketing, negotiator, optimization, problem solving, project negotiator.International business and marketing.Advanced problem solving abilities ., protocols, sales, sales training, sales training protocols for ADP's new ""P.C., sales training to insure for quality and effectiveness consistent with the mission and objectives of U.S. Telecom., schedule, strategic business policy.sciences.Direct sales trainer and staff developmentPlanning and control.manager.Public and client relations.Marketing, strategic marketing, telecommunications, the business., trained and managed an agent sales force for AT&T's GBS, trainer, variance and risk analysis., was rolled out Nationally.Developed, which included the training ofbank employees in direct sales"
89197180.pdf,INTERNATIONAL BUSINESS DEVELOPMENT,"Associate of Arts : Irvine Valley College - Managerial Finance and Accounting City , State
Bachelor of Arts : Autonomous University of Guadalajara - Accounting City , State , Mexico
Certificate : State of the Arts Business Works - Inventory Control and Order Data Entry City , State
Certificate : 8th and Walton - Selling to Walmart Mexico and Central America City , State","Excel, Fluent in oral & written Spanish, Food and Beverage Industry Experience, Greatplains., International Sales and Foreign Trade, MAS200, Negotiation skills, PowerPoint, Product development, Professional Ethics, Project management, Staff training and development, Territory forecasting, Work flow analysis, and Outlook. MAS90, proficient in Microsoft Word, reading competency in French"
90629382.pdf,BUSINESS DEVELOPMENT MARKETING REPRESENTATIVE,"Accounting Business Certificate : Accounting , 1995 Cypress Community College ï¼​ City , State , US

Coursework in Accounting, Finance and Business Administration

Certificate : Management , 1111 XXXX Seminar ï¼​ City , State , US

Completed Mortgage Underwriter training

Legal Marketing and Management seminar","AS400, Accomplishments, Account management, Accounting, Advertising, Banking: Credit Decisions, Bankruptcy, Billing, Brand recognition optimization, Business Development, Buyer, Buying/procurement, Clerk, Consultative sales techniques, Created strategies to develop and expand existing customer sales, Credit Evaluation, Cross-functional team leadership, Excel, Excellent communication skills, Exceptions, Filing, Fluent in Spanish, Incoming Calls, Internet, Invoices, Leads, Marketing, Marketing Plans, Mortgage Loans., Payments, Problem Solving, Public relations expert, Quickens and Cubs-Picklan, Sales Account Management: Business Development, Sales Calls, Skilled in MS Office, Skilled multi-tasker, Skip Tracer, Staff Management and training., Strong interpersonal skills, Team Building, Team building expertise, Territory Management, aggressive growth plans that helped increase customer base from [Number] to [Number] customers., of [Number] accounts totaling $[Amount] in sales.Hired, trained and managed a team of [Number] successful product managers.Launched, which resulted in a [Number]% increase in monthly sales.Managed a portfolio"
91467795.pdf,BUSINESS DEVELOPMENT CONSULTANT,"Bachelor of Science , Chemistry 2009 University of North Carolina Wilmington ï¼​ City , State , United States

Minor in Spanish
GPA 3.45","ACT!, Account Management, Analytical Lab Equipment, Business Development, C-level Presentations, CRM Systems, Competitive Analysis, Concepts & Applications of Chemistry, Contract Research, Event Planning, GoTo, Google Chrome, Knowledge of Drug Development Cycle, Lead Generation Software, LinkedIn, MailChimp, Market Research and AnalysisÂ, Marketing Automation Software, Marketing ManagementÂ, Meeting, Microsoft Office, Oracle, Pardot, Proficient with Salesforce, Prospecting/Cold Calling, Public relations, RFP/RFI/Bid Preparation, Sales and Marketing Strategizing, SharpSpring, Skype Business, Twitter, Yammer"
95382114.pdf,BUSINESS DEVELOPMENT MANAGER,"Bachelor of Science : Management 2013 Rutgers University City , State , USA
Executive Education; Management Stanford University Graduate School of Business City , State , USA","Account Management, Analytical Skills, Asset Management, Budget, Business Development and Operations, CRM, Closing and Negotiation, Financial Modeling, Leadership, MS Office, Networking, Research, Strategic Planning, Teamwork"
98379112.pdf,BUSINESS DEVELOPMENT CONSULTANT,"Bachelor of Science : Business NorthWestern Oklahoma State University , City , State

Major in Agricultural Business
Minor in Business Administration

Leadership Training Leader Effectiveness Training , City , State

The Peoples Bank annual leadership training program

Schools of Lending Principles Schools of Banking , City , State
Associations

Kansas Notary Public",
10001727.pdf,SOUS CHEF,"Master's , Business Administration 2015 Stratford University ï¼​ City , State GPA: GPA: 3.8 Magna Cum Lade Business Administration GPA: 3.8
Magna Cum Lade
Bachelors of Arts , Hospitality Management 2013 Stratford University ï¼​ City , State , USA

Hospitality Management

Associate of Applied Science , Advanced Culinary Arts 2010 Stratford ï¼​ City , State , USA

Advanced Culinary Arts (C.C.)","ADA compliance, CPR, Cost accounting, Department of Health, HR, PBX, POS, access, auditing, computer programming, contracts, credit, customer, customer satisfaction, data entry, financial, inventory management, marketing, policies, safety, sales, scheduling, seminars, service, staffing, supervisor"
10276858.pdf,FOOD PREP CHEF,"2011
William M Davies Career & Tech ï¼​ City , State , USA High School Diploma : Culinary/ Auto Body

Courses in Hospitality and Restaurant Management
Classes in Restaurant and Facility Operations
Basic Vocational : Prep Cook
Courses in: Food Preparation, Kitchen Management,Patisserie and Confectionery, International Cuisine","Able to regularly lift/move up to 25-50 lbs, Accomplishments, American cuisine, Baked, Banquet operations and off-site catering expert, Basic knife skills, Ensured consistent high quality of plate presentation., Ethnic foods preparation, Food handling knowledge, Good personal hygiene, High level of cleanly kitchen maintenance, Highly skilled in cooking and preparing a variety of cuisines, Inborn ability to explore new cooking avenues, Italian cuisine, Kitchen productivity, Knowledge of basic food preparation, Maintain knowledge of all recipes so that the Head Chef's place can be filled in effectively in case of absenteeism, Maintained contact with kitchen staff, Operate kitchen equipment such as ovens and grills for cooking purposes, Plate presentation skills, Preparation of various food items, Sandwich preparation experience, Seasoned and cooked food according to recipes or personal judgment and experience., Serve Safe 2015, Supported all kitchen operations when chef was absent., Team-oriented, Thorough understanding of sanitation needs of the kitchen, Uses proper sanitation practices, Well groomed, and steamed meats, broiled, fish, management, roasted, serving staff and customers., vegetables and other foods."
10333299.pdf,GENERAL MANAGER / EXECUTIVE CHEF,"1988
GED 
City , State , United States 
GED

I grew up in Guadalajara, Mexico and attended home school taught by my mother. I later received my GED. I also have the following training.

Basic Vocational Certificate: Restaurant Operations

Basic Vocational Certificate: Culinary Management

Coursework in Business, Restaurant and Hotel Management

.","Ability to prioritize, Accomplishments, Administration Â, Advertising, Assisted with payroll preparation and entered data into cumulative payroll document., Automobiles, Computer proficiency, Consultant, Customer Relations, Data Management, Equipment Operations and Maintenance., Facilitated onboarding of new employees by scheduling training, Financial Planning, Food safety, Hiring, Human resource knowledge, Inventory Control, Inventory Management, Inventory control, Investigated and analyzed client complaints to identify and resolve issues., Managing, Motivational leadership style, Network, Network design, New Construction, Oversaw implementation of new phone system which resulted in more cost-effective service., Payroll, Payroll Assistance Â, Performance Appraisals, Performed administration tasks such as filing, Personnel, Policies, Process Improvement Â, Professional demeanor, Project Management, Report writing, Research Â, Restaurant Operations, Retail, Safety, Sales, Scheduling Â, Self-directed, Service-minded, Spanish Speaking, Successfully trained staff in all office systems and databases, Supervision, Telecommunications., Time management ability, Training Â, answering questions and processing paperwork., developing spreadsheets, faxing reports, inter-departmental use., marketing, materials, photocopying collateral and scanning documents for, policies and procedures while focusing on minimizing errors and generating, superior results."
10588874.pdf,MANAGER AND EXECUTIVE CHEF,"Associate Degree : Applied Food Science and Culinary Arts/Food and Beverage Management , May 2008 Johnson & Wales University ï¼​ City ,
State , GPA 3.4 GPA: GPA: 3.4
Certification : Food Safety and Sanitation , 2008 Johnson and Wales ï¼​ City , State
Certification : National Beverage Service and Bartending , 2008 Johnson and Wales ï¼​ City , State","000 existing restaurants, Adaptable, Advanced 30 year family owned non- profitable restaurant to lucrative, Approved procurement requests for banquet products, Assign tasks and oversee the direction of employees to ensure compliance with food safety procedures and quality control guidelines., Budget allocation, Budgeted food orders and products to maximize company profitability, Budgeting, Business recovery and sustainability, Calm under pressure, Chef De Cuisine and Sous Chef, Chefs"" in over 3, Coached and mentored 25 employees and staff members by offering constructive feedback and taking interest in their career growth, Complex problem solving, Computer-savvy, Conflict resolution, Continually monitor all Rochester University Fraternity house kitchens and take appropriate action to ensure food quality, Cost reduction, Customer Relations, December 2010 to September 2012 Company Name ï¼​ City, Designated by Rochester University to be primary competitor to represent Rochester University in all culinary competitions, Designed, Developed variety of menu items catering to customers with food allergies and diet restrictions such as gluten-free and vegan items., Diverse management experience, Employee Scheduling, Exceptional time management skills, Food Safety, General Manager/Executive Chef, Hired and trained staff of over 20 for food and beverage preparation and approved payroll, Identified key growth opportunities through implementation of promotional events, Inventory Control and Management, Inventory control, Maintained standards and responsible for all kitchen operations, Manage, Manage and approve all inventories and budgets related to all culinary areas on campus, Managed and updated day to day database of personal and existing recipes, Managed day-to-day tactical and long-term strategic activities, Manager and Executive Chef, Media marketing, Monitor budgets of all Rochester University Chefs on campus, Monitored, Multi-Business Operations Management, Myrtle Beach Tourist magazine, Natural leadership, New Business Development, October 2013 to June 2014 Company Name ï¼​ City, October 2014 to Current Company Name ï¼​ City, Operations Start up, Payroll, Performance evaluations, Performed kitchen walk-throughs to gauge timeliness, Personally acknowledged in the local Sun News, Policies, Process improvement, Professional Experience, Profit Generation, Quality Management, Reduced total operating costs while utilizing online tools such as Quicken, Responsible for daily set up of all stations, Reviewed and approved all food and beverage billing invoices and expense reports, Safety, Scheduled and directed staff to maximize productivity, Scheduled and managed all catering events, September 2012 to October 2013 Company Name ï¼​ City, Skilled negotiator, Sound judgment, Sous Chef, Staff motivator, Staff training, State, Supervision and training, Team building, Time and Resource Optimization, Vendor Negotiations, Vendor Partnerships, Weekly, Work Flow, and implemented new restaurant and catering menus consisting of self-created recipes, and oversee all culinary campus events, and sanitation standards are consistently met., banquet events and buffet lines, budgeted inventory and expenses, created, culinary and tourist websites as ""Top 100 Myrtle Beach, performance and excellent service quality., plan, policies, service standards, thriving business now known as ""Local's Favorite"""
10653119.pdf,EXECUTIVE CHEF /CHEF MANAGER,"Associate of Science : Culinary Arts Johnson & Wales University - City , State ","Banquet and catering menu planning, Certified Food Safety Manager, Computer proficiency, Concept, Cost Control, Costing, Customer satisfaction, Customer service, Customer service orientated, Employee hiring & training, Equipment maintenance and repair, Financial management, Food & Labor Cost Control, Food Safety, Food procurement, Forth, Gluten Free food preparation, Hands on knowledge of all phases of food preparation from casual to fine dining and catering, Hiring, Inventory, Inventory control, Inventory levels, Kitchen equipment maintenance and repair, Knowledge of P & L accountability, Personnel, Pricing, Processes, Procurement, Purchasing, Quality, Receiving, Recipe development and standardization, Restaurant operations, Safety, and service, development, inventory and inventory control"
10889157.pdf,LEAD COOK (COOK III),"Associate of Arts : Business Management 2007 Lakeland Community College City , State , USA

Business Management

High School Diploma : High school 2005 Charles F Brush High School City , State , USA

I also Attended Beechwood High school my junior and senior years of high school as part of the Vocational program where I studied Culinary","Ability to Adapt to any situation, Employee Development, Fast Pace and efficient, Kitchen Management, Knife SKills, Leadership skills, Mother Sauce Knowledgeable"
11121498.pdf,CHEF,"Associate of Arts : Culinary Arts Culinary Institute of America ï¼​ City , State Leader of Chef's Collaborative, Catered events including Spotlight
on Hudson Valley cuisine
Food anthropology and Charcuterie Study in Spain Worked with accomplished chefs learning traditional cooking techniques, Spanish charcuterie,
historical context and high end presentation.
Nutrition Dietetics West Virginia Wesleyan ï¼​ City , State , USA 3 years studying nutrition dietetics. Â Won awards for public speaking and
community education for nutrition. Â Taught nutrition to children and families in area head start programs","& Hashimoto's. Taught diet, & Heritage diets. Proven ability to manage daily demands of planning menus, & heads of state among others, 06/1999 to 11/1999, 06/2001 to 06/2002, 06/2002 to 06/2003, 07/2003 to 10/2004, 10/2004 to 07/2016, 10/2004 to Current, 500 Specialized in logistics with broad project management skills, Able to shop and manage acquisition of specialty foods and, Attention to detail, Banquet Chef Company Name ï¼​ City, Champlain, Chef Company Name ï¼​ City, Chef Consultant Company Name ï¼​ City, Classically trained chef proficient in all facets of food production, Communicates effectively, Crohn's, Designed and implemented seasonal banquet menus. Transformed kitchen culture from one of pre-packaged food to scratch cooking., Designed menu which changed 60% daily in order to utilize the best local seasonal foods available. Created relationships between local, Executive Sous Chef Company Name ï¼​ City, Expertise with various forms of protocol and table service, Extensive knowledge of nutrition and various specialty diets, Externship Company Name ï¼​ City, Flexible temperament, Gut and Psychology Diet (GAPS), Halal, Kosher, Maintained daily culinary operations of multiple local properties, Nutrition, Professional Experience, Proven ability to manage daily culinary operations for multiple, Served on opening team for $800 million hotel, Shepherd of 160 Montadale sheep, Shepherd/Caretaker Company Name ï¼​ City, State, Understand need for discretion and, Wine and liquor inventory and management, able to accomodate changes of plans and special requests smoothly. Proficient cooking for specialty diets including various, allergy and food sensitivities, analysis of critical control points., and buildings., and people with chronic diseases including Hepatitis C, and values discretion and privacy, appropriate to a multitude of settings, assembled culinary teams, assessments of ingredients to minimize production waste and control inventory Sourced, banquet included service for 2, barbeque sauces, cardiac patients, children. Assisted with planning and creation of multiple community and school gardens. Trained area chefs on utilization of seasonal and, chili, chutneys, cleanliness and diligence to prevent any, cooking for private client and multiple guests in multiple homes. Utilized in-, depth knowledge of nutrition & communicated with healthcare professionals to optimize nutrition for desired health outcomes. Acquired and, developed banquet and event menus, developed comprehensive time, diet & recipe planning including for cancer patients, eager to learn and able to teach., equipment needs, executives, farms and the restaurant. Created and prepared extensive pastry and dessert selections., fired & trained staff at multiple, foods which are maximally nutrient dense, hot sauces, households with changing needs and demands, included: all care of animals, ingredients, inspections, internal audits of health and safety, international estates. Conducted extensive parties and charitable events, investors, kimchi and various other, lacto-fermented products. Cooked for celebrities, lambs production Management of organic market garden Harvest and preparation of foraged foods Care Taker of 207 acre island in Lake, largest, managed all facets of culinary event logistics. Maintained food, management for events, mead, negotiated prices of ingredients and equipment. Conducted wine & liquor inventory managementÂ, nutrition & cooking classes and smart consumer classes. Taught cooking and food science classes to, or hazard, paleo, pasture management and animal husbandry Marketing and sales of all, permitting &, plans and schedules. Â Professional, possibility of cross contamination, privacy. Oversaw domestic & international food production. Acquired wild & foraged foods. Hired, private label specialty products including mustards, raw, regional produce in cuisine.Â, relationships with vendors, respectful communication skills, responsibilities included trouble-shooting culinary work flow, responsible for maintenance of all watercraft equipment, sauerkraut, served as liaison to front of, service and provisions for private aircraft. Understand, shopping and preparing meals for multiple households with changing, sourced ingredients, specializing in fresh and local Developed vegetarian banquet menu to be used corporate wide Oversaw volume cooking, specific carbohydrate diet (SCD), staff to function as cohesive team serving under intense deadline pressure situations Developed and implemented HACCP, taught & trained protocol & etiquette to various estate and event staffs. Managed, the house on events, utilized extensive knowledge of medicinal herbs & their uses. Engaged in broad study of and customization of specialty diets. Created, vegan, worked to trouble shoot procedures to ensure food quality for large volume cooking Managed diverse multicultural, Â gluten free, â€‹, â€‹â€‹"
11209758.pdf,DFW PERSONAL CHEF,"Bachelor of Science : Business Management Saint Joseph University 
Business Management Magna Cum Laude","98, Access, Arabic, Client, Customer Relationship Management, English, Excel (spreadsheets, French, Mastering QuickBooks level 3 Certified, Microsoft Word, Optimization (SEO) and Web Metrics Social media tools Hootsuite and Hashtagify Cloud Management and Security Salesforce Customer, Outlook, Outlook Google Data Analytics, PowerPoint, QuickBooks, Relationship Management QuickBooks 42 CPE Credits, Search Engine, Search Engine Optimization, administrative, ads, business development, clients, contracts, customer satisfaction, efficient, energy, food safety, formatting), formulas, hiring, inventory, inventory management, market, marketing, mentor, networking, payroll processing, pivot tables, policies, pricing, producing, product development, profit, programs, purchasing, quality, safety, sales, selling, servers, shipping, staffing, strategic, tax, tax returns, training"
11432686.pdf,CATEGORY BRAND MANAGER,"Six Sigma Green Belt Training, Chicago Deming Assoc.-Six Sigma Masters Program, Naperville, IL, 2012
Graduate Level Courses, Marketing, Illinois Institute of Technology, Chicago, IL, 1997
B.A , Organizational/Corporate Communications Journalism 1992 Northern IL University ï¼​ City , State Organizational/Corporate
Communications Journalism American Management Association, 2016 and 2017; Communicating Up, Down and Across the Organization;
Critical Thinking; Fundamental Sales Techniques, Project Management Success, The Power of Persuasion","Excel, Microsoft Access Microsoft Project Microsoft Dynamics, Power Presentations Technical Writing, PowerPoint, Seminars/Classes: Social Media Marketing Facebook for Business Project Management Profitability Simulation Nielsen Syndicated Data Analysis, SharePoint BPC and SAP Microsoft Suite: Word"
